rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17112440,Champions Grille,Cheviot/Westwood,"['American', 'Breakfast', 'Burger']",Inexpensive,2.9,13
17116728,Rio Grande,Independence,['Mexican'],Inexpensive,3.7,13
17112580,River City Grille at the Cincinnati Marriott North,West Chester,"['Breakfast', 'Bar Food', 'Steak']",Pricey,3.4,12
17112888,Emerson's Bakery,Erlanger,[],Inexpensive,3.7,12
17115713,Country Inn Restaurants,Mount Orab,['Breakfast'],Moderately_priced,3.3,12
17116041,Eddie's Southern Style Bar-BQ & Catering,Florence,['BBQ'],Inexpensive,3.8,11
17117699,Happy Chicks Bakery,Northside,"['Vegetarian', 'Fusion']",Inexpensive,3.4,8
17112512,China House,Hamilton,['Chinese'],Inexpensive,3.9,12
17115642,Lone Star Steakhouse,Middletown,['Steak'],Moderately_priced,3.4,11
17116656,Hot Head Burritos,Maineville,"['Fast Food', 'Southwestern', 'Tex-Mex']",Inexpensive,3.5,14
17822893,Urban Artifact Brewery,Northside,[],Inexpensive,3.2,6
17115065,Uncle Woody's Tavern & Eatery,Clifton/Avondale,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.5,13
17822892,Deeper Roots Coffee,Oakley/Pleasant Ridge,['Coffee and Tea'],Inexpensive,3.2,3
17116516,Tusculum Grille,East End/Mount Washington,"['Pizza', 'Sandwich']",Inexpensive,3.5,12
17822841,Fond: Lunch and Deli,Montgomery,['Deli'],Moderately_priced,3.2,8
17117506,Urbana Cafe,Downtown,['Coffee and Tea'],Inexpensive,3.1,5
17117939,Beijing Asian Restaurant,Maineville,"['Asian', 'Chinese', 'Thai']",Inexpensive,3.3,8
17113769,Max & Erma's,Hamilton,"['Burger', 'Bar Food', 'Sandwich']",Moderately_priced,3.4,10
17843397,Mint Bistro,Milford,"['Asian', 'Sushi']",Moderately_priced,2.9,4
17117865,FUSIAN,Deer Park/Madeira,"['Sushi', 'Vegetarian']",Pricey,3.4,10
