,rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
113,17114075,P.F. Chang's,Norwood,"['Asian', 'Chinese']",$$$,3.9,166
114,17112868,El Coyote,Anderson Township,"['Mexican', 'Steak', 'Tex-Mex']",$$$,4.0,152
115,17112409,Carlo & Johnny,Montgomery,"['Seafood', 'Steak']",$$$$,4.1,171
116,17116622,Holy Grail Tavern & Grille at The Banks,Downtown,"['Burger', 'Pizza', 'Bar Food']",$$,3.5,93
117,17116113,Green Dog Cafe,East End/Mount Washington,['Sandwich'],$$,3.8,147
118,17117010,Strongs Brick Oven Pizza,Campbell County,['Pizza'],$,4.3,139
119,17113522,Kyoto,Symmes,"['Japanese', 'Sushi']",$$,4.3,149
120,17112260,Buca di Beppo Italian Restaurant,Norwood,"['Italian', 'Pizza']",$$$,3.7,149
121,17112987,Fratelli's Pizzeria,West Chester,"['Italian', 'Pizza', 'Sandwich']",$$,4.1,146
122,17112468,Chicago Gyros and Dogs,Clifton/Avondale,"['Burger', 'Sandwich', 'Greek']",$,4.4,149
123,17114606,Sichuan Bistro,Mason,['Chinese'],$$,4.1,141
124,17116068,Miyako,Crescent Springs/Fort Wright,"['Japanese', 'Steak', 'Sushi']",$$$,4.3,137
125,17112597,Cock & Bull Public House,Covington,"['American', 'Burger']",$$,4.0,151
126,17116397,Bombay Brazier,Montgomery,['Indian'],$$$,4.3,99
127,17117110,The Anchor,Over-the-Rhine/Mount Auburn,"['Bar Food', 'Seafood']",$$$,4.0,124
128,17114805,Stone Creek Dining Company,Montgomery,"['American', 'Seafood', 'Steak']",$$$,4.1,143
129,17112454,The Cheesecake Factory,Deer Park/Madeira,"['Desserts', 'Pizza', 'Bar Food']",$$,3.9,159
130,17113242,Half Day Cafe,Wyoming/Arlington Heights/Reading,"['Breakfast', 'Coffee and Tea', 'Diner']",$,4.3,150
131,17115982,Padrino,Milford,"['Italian', 'Pizza', 'Healthy Food']",$$,4.2,125
132,17112151,BJ's Restaurant & Brewhouse,Springdale,"['American', 'Pizza', 'Bar Food']",$$,4.0,133
133,17114152,Parker's Blue Ash Tavern,Blue Ash,"['American', 'Seafood', 'Steak']",$$$,3.8,129
134,17114571,Scotti's,Downtown,['Italian'],$$$,3.8,119
135,17116691,Cock & Bull Public House,Hyde Park/Mount Lookout,"['American', 'Burger']",$$,3.4,118
136,17117025,Wunderbar!,Covington,"['Breakfast', 'German']",$,4.2,113
137,17116305,FUSIAN,Downtown,"['Asian', 'Japanese', 'Sushi']",$,4.5,138
138,17115043,Trio,Deer Park/Madeira,"['American', 'Pizza', 'Healthy Food']",$$$,4.1,149
139,17113709,Mai Thai,Florence,"['Sushi', 'Thai']",$$,4.4,146
140,17114740,Sorrento's Pizzeria,Norwood,"['Italian', 'Pizza']",$$$,3.7,68
141,17116099,Dojo Gelato,Over-the-Rhine/Mount Auburn,"['Coffee and Tea', 'Desserts', 'Italian']",$,4.2,150
142,17113241,Habits Cafe,Oakley/Pleasant Ridge,"['Burger', 'Bar Food', 'Sandwich']",$,4.0,139
143,17112679,Cincy Steak & Lemonade,Clifton/Avondale,"['Burger', 'Sandwich', 'Beverages']",$,4.4,85
144,17117233,Zula,Over-the-Rhine/Mount Auburn,"['Mediterranean', 'Seafood', 'Tapas']",$$,4.0,107
145,17116436,Banana Leaf Modern Thai,Mason,['Thai'],$$$,3.8,116
146,17115287,York St. Cafe,Campbell County,"['International', 'Sandwich']",$$$,4.2,136
147,17113236,Guru India,Crescent Springs/Fort Wright,"['Indian', 'Pakistani']",$$,4.3,133
148,17113986,New Krishna,Sharonville,"['Indian', 'Pakistani']",$$,4.1,127
149,17112218,Bouquet Restaurant,Covington,['French'],$$$,4.1,127
150,17114624,Sitwell's Coffee House,Clifton/Avondale,"['Coffee and Tea', 'Sandwich']",$,3.6,137
151,17114321,Pomodori's Pizzeria and Trattoria,Montgomery,['Pizza'],$$,4.0,98
152,17116923,Django Western Taco,Northside,"['American', 'Southwestern']",$,3.9,109
153,17113987,New Orleans To Go,Blue Ash,"['Seafood', 'Southern', 'Cajun']",$$,4.5,107
154,16965115,Melt Bar and Grilled,Independence,"['Burger', 'Sandwich', 'Vegetarian']",$$,4.0,116
155,17113452,Kabuto Japanese Steakhouse and Sushi Bar,Colerain Township,"['Japanese', 'Steak', 'Sushi']",$$$,4.3,134
156,17116229,Aroma Restaurant and Sushi,Deer Park/Madeira,"['Japanese', 'Sushi', 'Thai']",$$$,3.7,101
157,17114480,Rocafella's Pizza A Taste of New York,Sharonville,"['Pizza', 'Sandwich']",$$,4.4,113
158,17116883,Flipdaddy's Burgers & Beers,Symmes,"['Burger', 'Bar Food', 'Healthy Food']",$$$,3.7,109
159,17115131,Washington Platform Saloon,Downtown,"['Bar Food', 'Sandwich', 'Seafood']",$$$,3.7,117
160,17112622,Comet,Northside,"['Mexican', 'Bar Food']",$$$,4.0,137
161,17113359,J. Alexander's - Redlands Grill,Norwood,"['Bar Food', 'Sandwich', 'Steak']",$$$,4.0,135
162,17115003,Thai Taste,Cheviot/Westwood,"['Asian', 'Sushi', 'Thai']",$$,4.4,114
163,17116299,Deep India Restaurant,Clifton/Avondale,['Indian'],$,4.6,127
164,17117362,Holtman's Donut Shop,Over-the-Rhine/Mount Auburn,"['Coffee and Tea', 'Donuts']",$,4.3,126
165,17114575,Sebastian's,Cheviot/Westwood,"['Greek', 'Mediterranean', 'Healthy Food']",$,4.2,136
166,17113916,Mokka and the Sunset Bar & Grill,Campbell County,"['Breakfast', 'Burger', 'Bar Food']",$,4.0,114
167,17114972,Taqueria Mercado,Fairfield,['Mexican'],$,4.2,120
168,17111900,Allyn's,East End/Mount Washington,"['Mexican', 'Southwestern', 'Cajun']",$$,3.6,120
169,17117665,Swad Indian,College Hill/Mt Healthy,"['Indian', 'Vegetarian']",$,4.1,96
170,17112237,Brij Mohan Indian Sweets & Restaurant,Sharonville,"['Indian', 'Vegetarian']",$$,4.4,109
171,17113413,Jim Dandy's BBQ,Sharonville,"['BBQ', 'Southern']",$$,3.9,117
172,17115002,Thai Namtip,Monfort Heights/White Oak,"['Sushi', 'Thai']",$$,4.4,118
173,17114568,Schoolhouse Restaurant,Milford,"['American', 'Southern']",$$,4.3,109
174,17117280,Fifty West Brewing Company,Plaineville,['Sandwich'],$$$,4.0,119
175,17117042,Quan Hapa,Over-the-Rhine/Mount Auburn,"['Asian', 'Vietnamese']",$$,4.0,108
176,17112169,Bluebird Restaurant,Norwood,"['American', 'Breakfast', 'Sandwich']",$,4.1,95
177,17116761,Cloud 9 Sushi,Hyde Park/Mount Lookout,['Sushi'],$$,4.2,96
178,17115067,Uncle Yip's Seafood and Dim Sum,Sharonville,"['Chinese', 'Dim Sum']",$$,4.2,105
179,17114706,Slatts Pub,Blue Ash,"['American', 'Bar Food']",$$,3.9,112
180,17117240,Seasons 52,Norwood,"['European', 'Healthy Food']",$$$,3.8,89
181,17113227,Greyhound Tavern,Crescent Springs/Fort Wright,"['American', 'Bar Food', 'Southern']",$$,4.2,128
182,17114482,Knockback Nats,Downtown,"['Burger', 'Bar Food', 'Sandwich']",$,4.2,81
183,17116235,Abby Girl Sweets,Downtown,[],$,4.1,110
184,17116630,Ali Baba Mediterranean Grill,Madisonville,"['Greek', 'Mediterranean', 'Turkish']",$$,4.1,95
185,17111915,Anchor Grill,Covington,"['Coffee and Tea', 'Diner', 'Sandwich']",$,3.9,117
186,17115362,Eddie Merlot's,Montgomery,"['Seafood', 'Steak']",$$$$,3.8,102
187,17113931,Morton's The Steakhouse,Downtown,['Steak'],$$$$,3.9,109
188,17114172,Paxton's Grill,Loveland,"['Burger', 'Bar Food', 'Sandwich']",$,4.1,107
189,17114254,Pit To Plate BBQ,College Hill/Mt Healthy,"['BBQ', 'Southern']",$,4.0,112
190,17114520,Rusty Bucket Restaurant and Tavern,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",$$,3.8,102
191,17111963,Aponte's Pizzeria,Mason,"['Italian', 'Pizza', 'Sandwich']",$,4.1,94
192,17116396,Asian Paradise Restaurant,Symmes,"['Asian', 'Chinese', 'Sushi']",$$$,4.1,98
193,17116408,Mellow Mushroom,Cold Spring/Alexandria,"['Pizza', 'Sandwich']",$$,3.9,114
194,17116970,Giovanni's Family Italian Restaurante,Cheviot/Westwood,"['Italian', 'Pizza']",$$,4.0,94
195,17113968,National Exemplar Restaurant,Mariemont,['American'],$$,4.1,109
196,17113171,The Golden Lamb,Lebanon,['American'],$$$$,3.8,100
197,17115284,Yat Ka Mein Noodle House,Oakley/Pleasant Ridge,"['Asian', 'Chinese']",$$,4.1,104
198,17114028,Oakley Pub and Grill,Oakley/Pleasant Ridge,"['Bar Food', 'Sandwich']",$,4.1,102
199,17114522,Ruthai's Thai Kitchen,Hyde Park/Mount Lookout,"['Asian', 'Sushi', 'Thai']",$$,4.3,115
200,17113299,Hot Doggin' It,Downtown,"['Burger', 'Fast Food']",$,4.2,104
201,17113694,Mac's Pizza Pub,Clifton/Avondale,"['Pizza', 'Bar Food', 'Sandwich']",$$,4.2,110
202,17115927,Viva Tequila,Mason,['Mexican'],$$,4.1,61
203,17111880,Abuelo's Mexican Food Embassy,Mason,"['Mexican', 'Tex-Mex']",$$,3.7,113
204,17114316,Pleasant Ridge Chili,Oakley/Pleasant Ridge,"['Breakfast', 'Sandwich', 'Chili']",$,4.4,114
205,17115967,Aroma's Java & Gelato Cafe,Cheviot/Westwood,"['American', 'Cafe', 'Desserts']",$,4.3,74
206,17115932,Izen's Drunken Bento,Clifton/Avondale,"['Asian', 'Korean', 'Sushi']",$,4.1,71
207,17112261,Buckhead Mountain Grill,Campbell County,"['Burger', 'Bar Food', 'Sandwich']",$$,3.7,102
208,17115332,Fuji Steak House,Hyde Park/Mount Lookout,"['Asian', 'Japanese', 'Sushi']",$$$,3.8,95
209,17117183,Metropole,Downtown,[],$$$$,3.9,99
210,17116595,Meritage,Springdale,"['Seafood', 'Steak']",$$$,4.1,85
211,17112136,Biagio's Bistro,Clifton/Avondale,"['Italian', 'Sandwich', 'Healthy Food']",$$$,4.1,102
212,17117026,Bite Restaurant,Milford,['International'],$$,3.8,75
213,17112225,BRAVO Cucina Italiana,West Chester,['Italian'],$$$,4.1,113
214,17112887,Embers,Deer Park/Madeira,"['American', 'Steak', 'Sushi']",$$$$,3.8,106
215,17115364,Dingle House Irish Pub,West Chester,"['British', 'Bar Food']",$$,3.7,102
216,17113200,Grandview Tavern & Grille,Crescent Springs/Fort Wright,"['Pizza', 'Seafood', 'Steak']",$$$,4.1,97
217,17116220,Butterbee's American Grille,Anderson Township,"['Burger', 'Bar Food', 'Sandwich']",$$,4.1,102
218,17115995,Kanak India,Montgomery,"['Indian', 'Vegetarian']",$$,4.3,109
219,17117175,Alfio's Buon Cibo,Hyde Park/Mount Lookout,"['International', 'Italian', 'Steak']",$$$,4.0,83
220,17114410,Ramundo's Pizzeria & Deli,Hyde Park/Mount Lookout,"['Pizza', 'Sandwich']",$,4.2,114
221,17112203,Bonefish Grill,Hyde Park/Mount Lookout,['Seafood'],$$$,3.9,107
222,17112604,Coffee Emporium,Over-the-Rhine/Mount Auburn,"['Coffee and Tea', 'Sandwich']",$,4.2,115
223,17114970,Taqueria Maya,Symmes,['Mexican'],$$$,4.3,101
224,17115128,Walt's Hitching Post,Crescent Springs/Fort Wright,"['BBQ', 'Southern']",$$,3.8,84
225,17114364,The Pub at Rookwood Mews,Hyde Park/Mount Lookout,['British'],$$,3.9,105
226,17116422,Joe's Diner,Over-the-Rhine/Mount Auburn,"['Breakfast', 'Diner', 'Sandwich']",$,4.0,95
227,17113949,Mt. Adams Bar and Grill,Walnut Hills/Mount Adams,"['Burger', 'Bar Food', 'Sandwich']",$,4.0,104
228,17116628,Trinity Gastro Pub,West Chester,"['American', 'Burger', 'Bar Food']",$$,3.7,79
229,17116143,Island Frydays,Clifton/Avondale,"['Caribbean', 'Sandwich', 'Seafood']",$$,4.3,87
230,17116006,Cock & Bull Public House,Springdale,"['Burger', 'British', 'Bar Food']",$$,3.9,92
231,17111882,Acapulco Mexican Restaurant,Fairfield,"['Mexican', 'Tex-Mex']",$$,4.4,105
232,17114732,Song Long,Golf Manor,"['Chinese', 'Vietnamese']",$$,4.0,82
